Screen Name,Real Name,Tweets,Followers,Following,Favorites Count
katyperry,KATY PERRY,9321,106908008,216,6131
justinbieber,Justin Bieber,30527,104573219,301838,3395
BarackObama,Barack Obama,15552,103320798,617742,11
Taylorswift13,Taylor Swift,99,83144336,0,468
rihanna,Rihanna,10208,88343602,1096,997
youtube,YouTube,22956,71056185,1018,2317
theellenshow,Ellen DeGeneres,17982,76587264,34751,1159
ladygaga,Lady Gaga,8892,77144209,125983,1964
twitter,Twitter,8177,55677763,140,5573
jtimberlake,Justin Timberlake,4051,64567166,288,339
britneyspears,Britney Spears,5613,56359556,384109,2611
cristiano,Cristiano Ronaldo,3306,75561244,101,0
kimkardashian,Kim Kardashian West,28393,59024785,136,9
selenagomez,Selena Gomez,4375,56933277,1206,168
cnnbrk,CNN Breaking News,63736,54446923,121,19
jimmyfallon,jimmy fallon,11398,50617922,8382,436
arianagrande,Ariana Grande,42943,59052021,62654,37344
shakira,Shakira,6119,50726187,212,1265
ddlovato,Demi Lovato,17073,56758650,536,2078
jlo,Jennifer Lopez,13874,43742224,1696,7376
instagram,Instagram,12101,36952666,4,206
oprah,Oprah Winfrey,12590,41746499,298,156
drake,Drizzy,1718,37405241,630,19
kingjames,LeBron James,6093,41732552,180,135
nytimes,The New York Times,341491,42376584,880,17503
billgates,Bill Gates,2888,46036881,201,81
cnn,CNN,213858,40811941,1111,1449
kevinhart4real,Kevin Hart,37912,34602552,553,93
mileycyrus,Miley Ray Cyrus,9266,40503918,392,287
onedirection,One Direction,9893,31027561,3758,295
sportscenter,SportsCenter,106099,35221566,1660,1117
espn,ESPN,98276,33702927,241,145
bbcbreaking,BBC Breaking News,35092,38502668,3,0
harry_styles,Harry Styles.,5489,32954894,2011,109
pink,P!nk,7147,31904842,456,530
liltunechi,Lil Wayne WEEZY F,1963,33927737,48,16
wizkhalifa,Wiz Khalifa,44502,33564281,830,57
niallofficial,Niall Horan,12981,39303023,5969,410
brunomars,Bruno Mars,4481,42070283,111,308
adele,Adele,308,27978146,0,0
narendramodi,Narendra Modi,21486,44474595,2068,0
neymarjr,Neymar Jr,41341,41476322,744,822
kanyewest,ye,800,28658979,149,2
kaka,Kaka,5030,29568231,304,98
actuallynph,Neil Patrick Harris,2966,27063979,134,207
realdonaldtrump,Donald J. Trump,39770,55936544,46,8
danieltosh,daniel tosh,13874,26225535,135,2
srbachchan,Amitabh Bachchan,63410,35520436,1863,66
aliciakeys,Alicia Keys,7837,29851618,710,420
nba,NBA,214985,27449597,1699,369
